epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9775,3.43325,6.24987,1.82687,9e-05,0.00227,0.0001,4e-05,2.25668,5.30868,1.50403,3.146e-05,3.146e-05,3.146e-05
2,14.2328,2.84672,5.43173,1.57172,0.00749,0.03103,0.01175,0.00495,1.91577,4.60963,1.26276,6.25239e-05,6.25239e-05,6.25239e-05
3,17.5038,2.00792,4.58763,1.28148,0.6391,0.02118,0.01537,0.00671,1.90392,4.22289,1.10385,9.01901e-05,9.01901e-05,9.01901e-05
4,20.9268,1.8083,4.09634,1.15934,0.37547,0.0655,0.03514,0.02208,1.62403,7.11284,1.05844,0.000114459,0.000114459,0.000114459
5,25.4284,1.73273,3.56853,1.11916,0.0273,0.21405,0.03963,0.02108,1.60583,11.9627,1.06994,0.000135329,0.000135329,0.000135329
6,28.3372,1.50454,3.13964,1.06838,0.08228,0.30458,0.06636,0.04055,1.41285,7.5364,1.01077,0.000152803,0.000152803,0.000152803
7,31.4001,1.51733,3.09831,1.06205,0.39396,0.12321,0.11991,0.08495,1.21613,4.57315,0.97514,0.000166878,0.000166878,0.000166878
8,34.7361,1.41156,2.75356,1.01695,0.31421,0.19687,0.15601,0.11085,1.21233,4.00142,0.97215,0.000177556,0.000177556,0.000177556
9,39.1527,1.38695,2.62446,1.00782,0.38996,0.25845,0.22339,0.14299,1.1814,2.94599,0.95259,0.000172744,0.000172744,0.000172744
10,42.328,1.36803,2.47624,1.01304,0.3818,0.24657,0.27461,0.18192,1.12705,2.55492,0.95334,0.000158587,0.000158587,0.000158587
11,47.0665,1.26392,2.61244,0.97382,0.4146,0.31882,0.35364,0.24751,1.07309,2.11486,0.95803,0.00014443,0.00014443,0.00014443
12,51.4629,1.21438,2.3688,0.96091,0.42334,0.31198,0.36349,0.26179,1.06662,2.0299,0.95722,0.000130273,0.000130273,0.000130273
13,54.952,1.19523,2.27394,0.97856,0.46948,0.30806,0.41655,0.318,1.0593,1.90827,0.95094,0.000116116,0.000116116,0.000116116
14,57.8342,1.20978,2.14492,0.97629,0.54832,0.33043,0.4235,0.32317,1.08622,1.84386,0.9495,0.000101959,0.000101959,0.000101959
15,61.0302,1.19875,2.05525,0.97693,0.51212,0.41716,0.43553,0.33802,1.07837,1.7136,0.94132,8.7802e-05,8.7802e-05,8.7802e-05
16,65.0219,1.15865,1.95087,0.95147,0.55408,0.39705,0.44488,0.34863,1.05547,1.67207,0.93612,7.3645e-05,7.3645e-05,7.3645e-05
17,68.6281,1.09405,1.85415,0.96015,0.57811,0.41987,0.4715,0.37075,1.0161,1.60193,0.92728,5.9488e-05,5.9488e-05,5.9488e-05
18,71.7605,1.11576,1.85414,0.95565,0.59384,0.42326,0.47874,0.37327,1.01342,1.58084,0.92713,4.5331e-05,4.5331e-05,4.5331e-05
19,74.871,1.07271,1.76325,0.94892,0.61855,0.4287,0.49811,0.38616,1.00615,1.53685,0.92123,3.1174e-05,3.1174e-05,3.1174e-05
20,78.9221,1.0695,1.73454,0.95641,0.591,0.45339,0.50226,0.3869,1.00665,1.52655,0.91802,1.7017e-05,1.7017e-05,1.7017e-05
